# Известные битые относительные ссылки в markdown.
# Перезаписывается `python scripts/check_doc_links.py --update`.
# Новая ссылка, которой здесь нет, роняет гейт; починенную --update уберёт.
# файл	цель	класс	где цель на самом деле
bugs/BUG-691-OPEN.md	BUG-574-OPEN.md	stale-status-suffix	bugs/BUG-574-FIXED.md
bugs/BUG-693-OPEN.md	BUG-346-OPEN.md	stale-status-suffix	bugs/BUG-346-FIXED.md
bugs/BUG-694-FIXED.md	BUG-997-OPEN.md	stale-status-suffix	bugs/BUG-997-FIXED.md
bugs/BUG-700-FIXED.md	BUG-699-OPEN.md	stale-status-suffix	bugs/BUG-699-FIXED.md
bugs/BUG-705-OPEN.md	BUG-606-OPEN.md	stale-status-suffix	bugs/BUG-606-FIXED.md
bugs/BUG-713-FIXED.md	BUG-615-OPEN.md	stale-status-suffix	bugs/BUG-615-FIXED.md
bugs/BUG-715-FIXED.md	BUG-712-OPEN.md	stale-status-suffix	bugs/BUG-712-FIXED.md
bugs/BUG-715-FIXED.md	BUG-713-OPEN.md	stale-status-suffix	bugs/BUG-713-FIXED.md
bugs/BUG-719-FIXED.md	BUG-713-OPEN.md	stale-status-suffix	bugs/BUG-713-FIXED.md
bugs/BUG-722-FIXED.md	BUG-723-OPEN.md	stale-status-suffix	bugs/BUG-723-FIXED.md
bugs/BUG-733-FIXED.md	BUG-744-OPEN.md	stale-status-suffix	bugs/BUG-744-FIXED.md
bugs/BUG-743-FIXED.md	BUG-744-OPEN.md	stale-status-suffix	bugs/BUG-744-FIXED.md
bugs/BUG-744-FIXED.md	BUG-743-OPEN.md	stale-status-suffix	bugs/BUG-743-FIXED.md
bugs/BUG-778-FIXED.md	BUG-792-OPEN.md	stale-status-suffix	bugs/BUG-792-FIXED.md
bugs/BUG-786-FIXED.md	BUG-806-OPEN.md	stale-status-suffix	bugs/BUG-806-FIXED.md
bugs/BUG-797-FIXED.md	BUG-883-OPEN.md	stale-status-suffix	bugs/BUG-883-FIXED.md
bugs/BUG-797-FIXED.md	docs/perf-method.md	wrong-relative-path	docs/perf-method.md
bugs/BUG-800-FIXED.md	BUG-792-OPEN.md	stale-status-suffix	bugs/BUG-792-FIXED.md
bugs/BUG-801-FIXED.md	BUG-803-OPEN.md	stale-status-suffix	bugs/BUG-803-FIXED.md
bugs/BUG-802-FIXED.md	BUG-786-OPEN.md	stale-status-suffix	bugs/BUG-786-FIXED.md
bugs/BUG-804-FIXED.md	BUG-459-OPEN.md	stale-status-suffix	bugs/BUG-459-FIXED.md
bugs/BUG-806-FIXED.md	BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
bugs/BUG-806-FIXED.md	BUG-786-OPEN.md	stale-status-suffix	bugs/BUG-786-FIXED.md
bugs/BUG-808-FIXED.md	BUG-704-OPEN.md	stale-status-suffix	bugs/BUG-704-FIXED.md
bugs/BUG-813-FIXED.md	BUG-905-OPEN.md	stale-status-suffix	bugs/BUG-905-FIXED.md
bugs/BUG-821-FIXED.md	BUG-479-OPEN.md	stale-status-suffix	bugs/BUG-479-FIXED.md
bugs/BUG-823-FIXED.md	BUG-792-OPEN.md	stale-status-suffix	bugs/BUG-792-FIXED.md
bugs/BUG-828-FIXED.md	BUG-716-OPEN.md	stale-status-suffix	bugs/BUG-716-FIXED.md
bugs/BUG-830-OPEN.md	BUG-685-OPEN.md	stale-status-suffix	bugs/BUG-685-FIXED.md
bugs/BUG-831-FIXED.md	BUG-908-OPEN.md	stale-status-suffix	bugs/BUG-908-FIXED.md
bugs/BUG-845-FIXED.md	BUG-844-OPEN.md	stale-status-suffix	bugs/BUG-844-FIXED.md
bugs/BUG-849-FIXED.md	BUG-877-OPEN.md	stale-status-suffix	bugs/BUG-877-FIXED.md
bugs/BUG-854-FIXED.md	BUG-588-OPEN.md	stale-status-suffix	bugs/BUG-588-FIXED.md
bugs/BUG-854-FIXED.md	BUG-921-OPEN.md	stale-status-suffix	bugs/BUG-921-FIXED.md
bugs/BUG-860-DUPLICATE.md	BUG-704-OPEN.md	stale-status-suffix	bugs/BUG-704-FIXED.md
bugs/BUG-884-FIXED.md	BUG-883-OPEN.md	stale-status-suffix	bugs/BUG-883-FIXED.md
bugs/BUG-887-FIXED.md	BUG-883-OPEN.md	stale-status-suffix	bugs/BUG-883-FIXED.md
bugs/BUG-895-FIXED.md	BUG-877-OPEN.md	stale-status-suffix	bugs/BUG-877-FIXED.md
bugs/BUG-897-OPEN.md	BUG-877-OPEN.md	stale-status-suffix	bugs/BUG-877-FIXED.md
